player_move,ai_move,result
rock,paper,ai
paper,paper,draw
rock,rock,draw
rock,scissors,player
scissors,paper,player
scissors,paper,player
paper,scissors,ai
rock,paper,ai
rock,scissors,player
scissors,paper,player
rock,scissors,player
paper,scissors,ai
scissors,scissors,draw
paper,rock,player
rock,rock,draw
paper,paper,draw
rock,rock,draw
scissors,paper,player
paper,rock,player
rock,paper,ai
paper,paper,draw
scissors,rock,ai
scissors,rock,ai
scissors,rock,ai
scissors,scissors,draw
scissors,scissors,draw
paper,scissors,ai
paper,paper,draw
paper,paper,draw
rock,rock,draw
paper,rock,player
scissors,rock,ai
paper,rock,player
rock,rock,draw
paper,paper,draw
scissors,rock,ai
rock,rock,draw
paper,rock,player
scissors,paper,player
scissors,rock,ai
paper,rock,player
rock,paper,ai
paper,paper,draw
scissors,rock,ai
rock,paper,ai
paper,paper,draw
scissors,scissors,draw
rock,scissors,player
paper,scissors,ai
scissors,rock,ai
rock,scissors,player
paper,scissors,ai
rock,rock,draw
rock,rock,draw
paper,paper,draw
scissors,paper,player
rock,paper,ai
paper,scissors,ai
rock,rock,draw
scissors,paper,player
paper,scissors,ai
rock,paper,ai
scissors,scissors,draw
paper,scissors,ai
scissors,paper,player
rock,scissors,player
rock,scissors,player
paper,scissors,ai
rock,rock,draw
scissors,paper,player
paper,scissors,ai
scissors,paper,player
rock,scissors,player
scissors,scissors,draw
paper,scissors,ai
rock,paper,ai
scissors,scissors,draw
rock,scissors,player
paper,scissors,ai
scissors,rock,ai
