prev_1,prev_2,prev_3,next
rock,paper,rock,rock
paper,rock,rock,scissors
rock,rock,scissors,scissors
rock,scissors,scissors,paper
scissors,scissors,paper,rock
scissors,paper,rock,rock
paper,rock,rock,scissors
rock,rock,scissors,rock
rock,scissors,rock,paper
scissors,rock,paper,scissors
rock,paper,scissors,paper
paper,scissors,paper,rock
scissors,paper,rock,paper
paper,rock,paper,rock
rock,paper,rock,scissors
paper,rock,scissors,paper
rock,scissors,paper,rock
scissors,paper,rock,paper
paper,rock,paper,scissors
rock,paper,scissors,scissors
paper,scissors,scissors,scissors
scissors,scissors,scissors,scissors
scissors,scissors,scissors,scissors
scissors,scissors,scissors,paper
scissors,scissors,paper,paper
scissors,paper,paper,paper
paper,paper,paper,rock
paper,paper,rock,paper
paper,rock,paper,scissors
rock,paper,scissors,paper
paper,scissors,paper,rock
scissors,paper,rock,paper
paper,rock,paper,scissors
rock,paper,scissors,rock
paper,scissors,rock,paper
scissors,rock,paper,scissors
rock,paper,scissors,scissors
paper,scissors,scissors,paper
scissors,scissors,paper,rock
scissors,paper,rock,paper
paper,rock,paper,scissors
rock,paper,scissors,rock
paper,scissors,rock,paper
scissors,rock,paper,scissors
rock,paper,scissors,rock
paper,scissors,rock,paper
scissors,rock,paper,scissors
rock,paper,scissors,rock
paper,scissors,rock,paper
scissors,rock,paper,rock
rock,paper,rock,rock
paper,rock,rock,paper
rock,rock,paper,scissors
rock,paper,scissors,rock
paper,scissors,rock,paper
scissors,rock,paper,rock
rock,paper,rock,scissors
paper,rock,scissors,paper
rock,scissors,paper,rock
scissors,paper,rock,scissors
paper,rock,scissors,paper
rock,scissors,paper,scissors
scissors,paper,scissors,rock
paper,scissors,rock,rock
scissors,rock,rock,paper
rock,rock,paper,rock
rock,paper,rock,scissors
paper,rock,scissors,paper
rock,scissors,paper,scissors
scissors,paper,scissors,rock
paper,scissors,rock,scissors
scissors,rock,scissors,paper
rock,scissors,paper,rock
scissors,paper,rock,scissors
paper,rock,scissors,rock
rock,scissors,rock,paper
scissors,rock,paper,scissors
